湛江	30,533
张家界	17,151
张家口	53,906
张掖	481
漳州	37,281
昭通	963
肇庆	14,877
镇江	93,998
郑州	140,314
中山	6,109
中卫	451
重庆	23,591
舟山	33,540
周口	2,294
株洲	34,243
珠海	9,846
驻马店	904
资阳	576
淄博	82,237
自贡	18,062
遵义	1,308
